Claim,Source
Wire-tapped and ‘intercepted’ evidence must be allowed as admissible in court,idebate
Most people are a little bit gay,debatewise
Anti-Social Behaviour Orders (UK) must be scraped,idebate
Governments should spend their way out of the recession,debatewise
We must grant those diagnosed with terminal illnesses the right to access treatments that have not completed clinical testing,idebate
permit the use of performance enhancing drugs in professional sports,idebate
Allow women to compete in the same leagues as men,idebate
The Guantanamo Bay detention centre should be closed,idebate
social networking sites should be banned at the workplaces,debatewise
Joe Calzaghe deserves to be recognized as one of the greatest boxers of all time,debatewise
Handguns must be banned in Washington D.C.,idebate
The imprisoned members of Pussy Riot should be considered political prisoners,idebate
We should use torture to obtain information from suspected terrorists,idebate
The development of genetically modified organisms have to be banned,idebate
Rupert Murdoch is not a fit person to run an international media corporation,idebate
Government should be required to obtain warrants to access data that can be used to track an individual,idebate
Capitalism is better than socialism,idebate
It is worth voting,idebate
Civil liberties should be sacrificed for the greater good,idebate
Fighting should be allowed in hockey.,procon
It is good to gossip,debatewise
The Republika Srpska must be allowed to secede from Bosnia & Herzegovina,idebate
Creationism should be discussed in school science lessons,debatewise
Post Office Should Be Privatized,debatewise
All nations have a right to nuclear weapons,idebate
Boys should go to boys only schools,debatewise
We believe in world government,idebate
The United Nations has failed,idebate
Adolf Hitler Does Not Deserve His Reputation as Evil,debatewise
Animals have rights.,idebate
Subsidize poor communities,idebate
The best way to protect Scottish interests in the EU is to vote for independence,idebate
Disclose previous convictions in court,idebate
ID cards and the National Identity Register should be scrapped,debatewise
Turkey should be let join the European Union,idebate
The ICC is biased against Africa,idebate
"The EU, USA and other western donors should not fund any Palestinian government in which terrorist organisations participate",idebate
Christians should be allowed to wear the Cross at work,idebate
The Internet must be censored,idebate
USA must sign the Ottawa Convention banning landmines,idebate
We support the New START Treaty,idebate
Basic income tax should be abolished,debatewise
"The US intervention in Libya, lacking congressional approval, was illegal",idebate
Introduce year round schooling,idebate
HIV/AIDS: There Should Be Compulsory Testing and Labeling of People with HIV,debatewise
Global Warming is not an issue,debatewise
The use of mobile phones has lowered active social life and has become an addiction,debatewise
Military action to intervene during atrocities without United Nations Security Council approval can be legal,idebate
Rain Man is such a bad image of autism,debatewise
The European Union should lift its ban on member states selling arms to China,idebate
The Palestinian Statehood should be recognised by the United Nations General Assembly,idebate
Store nuclear waste underground,idebate
The United States should maintain its embargo against Cuba,procon
Christianity is the greatest deception of today,debatewise
The Reproductive Health Bill will undermine families and values,idebate
Democracy Is the Best Form of Government,debatewise
People should have the right to die,idebate
The EU should impose a special Europe-wide tax on meat consumption to help save the planet,debatewise
Religious freedom abroad should be one of the primary foreign policy concerns for any country,idebate
The money we spend on our Olympic medal count is money well spent,debatewise
Force think tanks to reveal all of their sources of funding,idebate
Fines should be made relative to income,idebate
University education needs to be capped and more selective,debatewise
The iPhone is better than the Blackberry,debatewise
The UN should impose sanctions on countries that destroy their rainforests,debatewise
Poverty is the most important security issue facing Africa,idebate
Blasphemy has no place on the statute books,idebate
Discipline In Schools Needs To Be Improved,debatewise
The United States is a ‘benign’ hegemon,idebate
Build a third Heathrow runway to maintain its position as a hub airport,idebate
Eritrea is responsible for its isolation,idebate
The UN intervention in the Democratic Republic of Congo has been a success,idebate
The voting age should be lowered to 16,debatewise
Reheat tea in the microwave,debatewise
The sale of children’s toys as part of fast food meals must be prohobited.,idebate
Teachers should get merit pay,debatewise
During riots it might make sense to block access to social messaging networks,idebate
Parents should introduce children to alcohol (in moderation) at an early age,debatewise
The full financial history of all candidates for political office must be posted online,idebate
The American Jobs Act should pass,idebate
Pre-nuptial agreements should not be recognised in divorce courts,debatewise
Hacking Can Be Justified,debatewise
Downloading music without permission is morally equivalent to theft,idebate
Violent Video Games Contribute to Youth Violence,procon
Governments Should Actively Promote Multiculturalism,debatewise
The United States should keep daylight saving time.,procon
We should believe in corporal punishment for adult offenders,idebate
Religions Should Not Qualify as Charities,debatewise
Smoking should be banned in public places,debatewise
We should abolish speed cameras,debatewise
We must bring back corporal punishment,idebate
The US should immediately close Guantanamo Bay.,debatewise
We should limit the right to bear arms,idebate
We must limit anonymous contributions from corporations and individuals to super PACs,idebate
Scotland should cede from the union.,debatewise
US must get rid of the double jeopardy rule,idebate
Music containing lyrics that glorify violent and criminal lifestyles should be banned,idebate
We must ban negative advertising in political campaigns,idebate
The niqab and other face coverings in schools must be banned,idebate
Humans should eat meat,debatewise
The world should go vegan,debatewise
Governments of resource-rich nations should impose high taxes on mining and extraction,debatewise
We must all believe in fundamental human rights,idebate
The environment is being sacrificed for the economy,debatewise
Restrictions must be imposed on overseas players in football,idebate
School uniforms must be banned,idebate
Targeted online advertising on the basis of user profiles and demographics must be banned,idebate
Gorbachev Was Responsible for The Collapse Of The USSR,debatewise
History has no place in the classroom,idebate
Homework should be banned.,idebate
Major league baseball should continue to allow collisions at home plate,idebate
The internet’s anonymity is beneficial,debatewise
Provision of higher education must be funded by taxing graduates,idebate
More gun control laws should be enacted,procon
Individuals have a moral obligation to assist people in need,debatewise
Violent video games cause violent crime,debatewise
We have to produce high quality generic drugs for Africa,idebate
Historical Artefacts Should Be Repatriated to Their Country of Origin,debatewise
History as a subject in school is needed,debatewise
Newspapers Are a Thing of the Past,debatewise
Developing nations should place restrictions on rural-urban migration,idebate
Jerusalem should be divided,idebate
Should the United States increase the foreign aid budget?,idebate
Social networking sites are good for our society,procon
School Uniforms Should Be Mandatory,debatewise
We must have a criminal DNA database,idebate
Advertising is harmful,idebate
Alternative medicine poses a threat to public health,idebate
Endangered species should be protected,idebate
Golf is a Sport,procon
Gay marriage should be legal,procon
Pay state school teachers based on merit,idebate
Roger Federer Is Not the Greatest Tennis Player of All Time,debatewise
We should be investing in public transport,debatewise
Parents should be able to choose the sex of their children,idebate
The UN should be reformed or replaced,debatewise
Adaptation should be the most urgent response to Climate Change,idebate
The United States should use the electoral college in presidential elections.,procon
Parents of obese children be prosecuted with neglect,debatewise
Personality is more important than ability,debatewise
Romeo and Juliet do promote knife crime,debatewise
Targeted sanctions have to be used to respond to cyber-attacks,idebate
Capitalism is creating an expanding gap between the rich and the poor,debatewise
Maths should be a compulsory subject at GCSE,debatewise
The people's republic of China should abandon the one-child policy,idebate
 Aboriginal culture must be protected,idebate
Russia has the right to send troops into Crimea,idebate
Music That Glorifies Crime Should Be Banned,debatewise
Marriage is an outdated institution,idebate
UK should have a second Brexit referendum before leaving the EU,idebate
Teachers should get tenure,procon
We should encourage increased use of referendums,idebate
A nation's history and mythology is part of its national security,idebate
We should give cash to the poor to reduce poverty,idebate
We Should Have a Quota for Women on Corporate Boards,debatewise
Eliminate All Nuclear Weapons,debatewise
The European Union should adopt a single working language through which to operate.,idebate
"Force the media to display, promote and report women’s sport equally to men’s sport.",idebate
We should be free to express our religion as we wish,debatewise
Dictatorship Is the Best Path to Development,debatewise
Job applicants should have to disclose their spent criminal convictions,debatewise
Wind power should be a primary focus of future energy supply.,idebate
Social Media should be part of the curriculum,debatewise
We should show more compassion to drug addicts,debatewise
Physical Education In Schools Should Be Compulsory,debatewise
Gay couples should be allowed to marry,idebate
Money undermines sport’s values,debatewise
Abolish all collective bargaining rights claimed by trades unions,idebate
There must be a system of universal healthcare,idebate
Bottled water should be banned,procon
Books should have content warnings,debatewise
Penalise religious hate speech,idebate
It is time to stop buying bottled water,debatewise
Britain should become a republic,debatewise
Forced marriage should be banned,debatewise
America should have universal healthcare,debatewise
Widen the East African Community,idebate
Terrorists should be subject to the Geneva Conventions,debatewise
We have to cut the length of copyright protection,idebate
It is morally permissible for victims to use deadly force as a deliberate response to repeated domestic violence,debatewise
Airbrushing of women’s bodies in the media be banned,idebate
There must be a ban the sale of 3D printers to households,idebate
Cramming before exams is a bad idea,debatewise
Compensation should be paid for those who have had their culture appropriated,idebate
State funding to universities have to be conditioned upon all academic work being made available to the general public,idebate
Everyone Should Automatically Be Opted into an Organ Donation Scheme,debatewise
It makes sense to drive to an out of town to a shopping centre,idebate
Professional sportsmen must be required to represent their countries at the international level,idebate
Hate speech on campus has to censored,idebate
Healthy eating should be made mandatory,debatewise
Gender Equality is Treating Men and Women in the Same Way,debatewise
Catcher in the Rye is a bad book,debatewise
Wikileaks is not and has never been a non-profit organization,debatewise
Create an African Criminal Court,idebate
Only buildings that are historically important should be preserved,debatewise
Mixed Martial Arts (UFC) is a form of human cockfighting,debatewise
Store nuclear waste underground,idebate
We should support universal basic income,procon
Self-determination of peoples is a human right,idebate
The expenditure of money should be protected as speech,idebate
Google is the extremely reliable source of information,debatewise
We believe in the right to reply,idebate
Drones Should Be Used to Take Out Enemy Combatants,debatewise
Legal empowerment is provided for women through land titling,idebate
Offshoring is a good idea,idebate
Evolution has Disproved Creationism,idebate
Tuition Fees Should Be Increased,debatewise
African borders must be redefined to reflect ethnic groups,idebate
Human Cloning has to be banned,idebate
"Guinea-Bissau should not let itself be turned in to a front of the US’ ""war on drugs""",idebate
The use of child performers should be banned,idebate
The Uhuru Kenyatta indictment was an unwelcome interference by the ICC,idebate
It should be allowed to patent genes,idebate
Reality TV shows are an important part of popular culture today.,debatewise
Football does unify us,debatewise
Mossad should carry out extrajudicial killings,debatewise
Prescription drugs should be advertised directly to consumers,procon
National service should be re-introduced,debatewise
16 year olds should be able to vote at presidental elections,debatewise
You should never have children,idebate
Sexist advertising must be banned,idebate
Anarchism is a valuable political ideology,idebate
Voting should be compulsory in the UK,debatewise
The United States’ individual health insurance mandate is unconstitutional,idebate
Women should be allowed to take part in combat,idebate
Strict parenting works best,debatewise
Public high school students in the United States ought not be required to pass standardized exit exams to graduate,debatewise
The Schengen Agreement must be dissolved,idebate
Users of extremist websites should be punished,idebate
We have to teach creationism in schools,idebate
It is sometimes right for the government to restrict freedom of speech,idebate
Refusing to stand for the National Anthem is an appropriate form of protest.,procon
Alcohol should be banned.,idebate
Religion In Itself Is A Purely Positive Force In The World,debatewise
The U.S. Should Ban The Use of Cluster Bombs,idebate
The feminist movement should seek a ban on pornography,idebate
Africans are worse off due to natural resources,idebate
Children should not be allowed to inherit vast wealth as this damages them and society,debatewise
The People’s Republic of China should invade North Korea,debatewise
The UK Should Leave the European Union,debatewise
The federal minimum wage should be increased,procon
Prioritize eliminating the budget deficit over increasing domestic spending,idebate
Obesity is a disease,procon
Make sex education mandatory in schools,idebate
Performing tests on animals must be banned,idebate
Aid Should Be Tied To Human Rights,debatewise
Same sex relationships should have the same legal status as heterosexual relationships under EU law,debatewise
Keep the Sabbath as a Day of Rest,idebate
Civil society should be granted a wider participation in Africa’s political life,idebate
Sikh school pupils should be allowed to carry ceremonial daggers,debatewise
Israel's 2008-2009 military operations against Gaza were justified,idebate
Send Yanukovych to The Hague,idebate
Cultural property residing in museums must be returned to its place of origin,idebate
Hosting the Olympic Games is beneficial,procon
Stop sending development aid to India,idebate
Quebec should secede from Canada,idebate
The civil procedure rules allow for a ‘fair trial’,debatewise
The United States was correct in going to war against North Korea in support of their territory of South Korea.,debatewise
It should be allowed to have military recruitment in schools,idebate
Corporations are a threat to Democracy and society.,debatewise
Smokers should be denied access to state healthcare,idebate
You should join Facebook,idebate
Deregulation and tax cuts should be embraced to lead the world out of economic crisis.,debatewise
Parents should be allowed to genetically screen foetuses for heritable diseases,idebate
Taking food thrown out by supermarkets should not be illegal,debatewise
Teachers should be armed,idebate
Abolish the monarchy.,idebate
Cut aid to African states that criminalise homosexuality,idebate
Ghana’s ban on smoking in public places is a model for Africa,idebate
Deny Organs to Non-Donors,idebate
Patents on life-saving drugs should be bypassed,debatewise
Space Exploration Is a Waste of Money,debatewise
The UK would be better off economically outside the European Union,idebate
Domestic intelligence agencies have a legitimate role to play in democracy,idebate
Affirmative Action in South Africa does more harm than good,debatewise
Prosecutions help the healing process,idebate
New prisons need to be built to ease overcrowding,debatewise
Parents or other adults should be able to ban books from schools and libraries.,procon
The grammar school system should be reintroduced in the UK,debatewise
Representative Democracy Is a Better Form of Government Than Direct Democracy,debatewise
That Zero Tolerance Policing is a Good Tactic for Fighting Crime,idebate
Legalize sex work in order to make controls more feasible and effective to combat HIV/AIDS,idebate
Prisoners Should Be Used For Medical Experiments Without Consent,debatewise
Labels on food must be mandated to encourage people to eat better,idebate
Force has to be used to protect human rights abroad,idebate
Long term cooperation between Russia and the United States is possible.,idebate
The breeding of white tigers in captivity should be banned,debatewise
Macs are better than PCs,debatewise
Turkey is not a democracy,idebate
Competition in the long run is healthy rather than harmful for the community: GRE issue,debatewise
Adding artificial happy endings to a story completely ruins it,debatewise
Hosting the world cup is beneficial,debatewise
Men are the key to family planning in Uganda,idebate
German unification has been a success,debatewise
Prostitution has to be legalised,idebate
Remove the requirement for Catholic Priests to take a vow of celibacy,idebate
Children should be banned from watching shows that contain violence and other adult contents,debatewise
The UN should recognize a Palestinian state,idebate
The Tibet should be an independent state,idebate
Governments be allowed to disrupt Internet service on grounds of national security.,idebate
The media’s selective coverage of certain issues works to worsen problems in society and create problems,debatewise
It is necessary to offer increased aid to developing world countries that encourage and accept large influxes of immigrants,idebate
All Americans should have the right (be entitled) to health care,procon
Cyberbullies must be punished with prison even if under 18,idebate
Protect braille out of respect for free speech,idebate
We must negotiate with terrorists,idebate
University education should be free,idebate
Recreational marijuana should be legal,procon
The Spread of Nuclear Weapons: More may be better,debatewise
It is a good idea to build the Keystone XL pipeline,idebate
Do not allow companies to collect/sell the personal data of their clients,idebate
Invest in Renewable Technologies rather than Nuclear Power,idebate
Homework is beneficial,procon
"Financial Assistance for the Poor Should Be the Responsibility of Charities, Not Government",debatewise
Corporal Punishment Should Be Reintroduced,debatewise
Nuclear technology must be adopted,idebate
Resources have a negative influence on foreign policy in the Middle East,debatewise
Aid is killing Africa,debatewise
There Should be a Minimum Weight Limit For Professional Models,debatewise
There must be a progressive tax rate,idebate
Degrees in the creative arts are luxuries society can no longer afford,idebate
Smoking should further be restricted,idebate
"Universities should make all academic work they produce, including scholarly articles, course handbooks and recorded lectures, available to the general public",idebate
We have to offer amnesty to bloggers currently prosecuted by their native states,idebate
Neo-functionalism explains the integration of the European Union,idebate
Wikipedia is a force for good,idebate
The ICC is not an effective deterrent,idebate
Homework should have a limit,debatewise
The music that glorifies violence against women should be banned,idebate
African cities need to invest more in housing to replace slums,idebate
There must be a child curfews,idebate
Socialism is a failed government subdomain,debatewise
Gender equality will not happen anytime soon,debatewise
Mexican culture was incurably damaged by the introduction of Christianity,debatewise
Barbie Dolls are affecting the mental image we create for ourselves,debatewise
Adults should have the right to carry a concealed handgun,procon
African governments must implement tougher protections for animals,idebate
Make the raising of business and labour standards a prerequisite for developmental aid,idebate
Allow donations of vital organs even at the expense of the donor's life,idebate
EU member states should guarantee people under 25 a temporary workplace when they have been unemployed for six months,idebate
"Churches should (defined as churches, temples, mosques, synagogues, etc.) remain tax-exempt",procon
Ban the use of trans fats in food stuffs,idebate
US must help in fighting terrorist organisations in Africa,idebate
politicians have no right to privacy,idebate
Leaving the EU would increase British security,idebate
Switzerland and Norway should apply to join the EU,idebate
Constitutions Should Not Give Special Recognition To Minority Groups,debatewise
There must be compulsory identity cards,idebate
Proportional representation is necessary.,idebate
Human activity is primarily responsible for global climate change,procon
Terrorism should not be allowed publicity,debatewise
Any job is better than no job,debatewise
India should give up Kashmir,debatewise
The penny should stay in circulation,procon
Media reporting on violent crimes should be restricted,idebate
The world must arm the Syrian rebels,idebate
Act to regulate the activities of Sovereign Wealth Funds,idebate
We should detain terror suspects without trial,idebate
CCTV is a threat to freedom,debatewise
Sao Tome would drop relations with Taiwan in favour of Mainland China,idebate
Ethiopia is right to build a dam on the River Nile,idebate
Workers in the Transport Sectors Should Be Banned From Going On Strike,debatewise
Governments should lower the voting age to 16,idebate
Animals have a right to privacy,debatewise
"Criminal trials should not be televised, and the ICC is no exception",idebate
It is important to use foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities.,idebate
Build hydroelectric dams,idebate
The use of atomic bombs against Hiroshima and Nagasaki was justified,idebate
Euthanasia or mercy killing is justified,debatewise
We should give money to beggars,debatewise
Atheism is the only way,idebate
Oil Companies Should Not Be Allowed To Drill Offshore,debatewise
Make lessons in a foreign language compulsory for school pupils,idebate
African leaders should be transparent about their health,idebate
We should dramatically increase the rate of income tax paid by the rich,debatewise
Lesotho should be annexed by South Africa,idebate
"Allow retailers to import for resale ""grey"" goods from abroad.",idebate
African states should withdraw from the ICC,idebate
Smoking should be made Illegal,debatewise
Rail travel is the best mode of transport for the future,debatewise
The Gulf States should take in more Syrian refugees,idebate
Police Service Should Be Armed (UK),debatewise
Governments should prioritise spending money on youth,idebate
Open primaries are the most effective method of selecting candidates for elections,idebate
NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban,idebate
Gabon hosting the Africa Cup of Nations was a good thing,idebate
Religion is not necessary,debatewise
Power only has two dimensions,debatewise
Take a visit the Yasukuni Shrine,idebate
Prostitution should be legalised to protect sex workers from HIV/AIDS,debatewise
Animal testing for medical research should be allowed.,debatewise
Former colonial powers should pay reparations to former colonies,idebate
We should force feed sufferers of Anorexia Nervosa,idebate
The Western intervention in Libya has been a success,idebate
Free press is vital in democracy,debatewise
Prescription drugs are overpriced,debatewise
We have lost the true meaning of Christmas,debatewise
Hosting the Olympics is a good investment,idebate
Gambling must be banned,idebate
Allow celebrities to switch off the limelight,idebate
The EU should abandon the Common Agricultural Policy,idebate
Faith schools must be banned,idebate
Should the Cell Phones Be Allowed in Schools,debatewise
Social deprivation causes crime,idebate
The health benefits of genetically modified foods outweigh their risks,debatewise
We must believe in the woman's right to choose,idebate
Prohibit retailers from selling certain items at a loss as a marketing device.,idebate
Home Schooling Should Be Banned,debatewise
Traditional university has to be replaced by online learning,idebate
Religious symbols in public buildings must be banned,idebate
Any work that is not released under a creative commons license shouldn't be funded,idebate
Commercialization of Festivals and Holidays Has Eroded Their Real Significance,debatewise
People should be allowed to sell their own organs,debatewise
Inheritance tax should be raised to 100% for everyone born in the UK,debatewise
It is wrong to tolerate unjust laws,debatewise
Feminism Is Still Needed,idebate
The EU should engage in further enlargement,idebate
We should legalise the growing of coca leaf,idebate
Community radio is good for democracy,idebate
Private universities in the UK must be encouraged,idebate
Rich countries should actively recruit medical personnel from poorer countries,debatewise
The United Nations budget must be frozen,idebate
Sadomasochism must be decriminalized,idebate
Create a National High Speed Rail System in the U.S.,idebate
Sports Have Became More About Making Money Than Playing Well,debatewise
Anti-Bribery Laws On Corporations Should Be Abolished,debatewise
Public Transport Should Be Free,debatewise
Electronic tags are a good idea,debatewise
"Unemployment benefit should be paid in the form of vouchers for food, shelter and the basics of life",debatewise
The United States should continue Its use of drone strikes abroad,procon
An international ban should be placed on the export of nuclear reactor technology,debatewise
The decision of the state of Bavaria to publish Mein Kampf,idebate
Animals should be used for scientific or commercial testing,procon
Have no elections rather than sham elections,idebate
The United Nations has a responsibility to protect.,idebate
World War III is inevitable,debatewise
We should ban the muslim veil,debatewise
Fund needle exchanges,idebate
Working from home is better for companies than maintaining an office,debatewise
Spain should cede Ceuta and Melilla to Morocco,idebate
The EU should return power to national governments,debatewise
Polls are accurate predictors of election results,debatewise
Limit the free speech rights of corporations that are granted legal personhood,idebate
There Is a Mathematical Miracle in the Quran That Proves It Is the Word of God,debatewise
We should directly elect city mayors,idebate
Parents should not allow young people to live at home again after graduating,debatewise
Visitors to museums should be “encouraged” to pay a voluntary entrance fee,debatewise
Every child should have a mobile phone.,idebate
International students are charged unfairly high tuition fees at UK universities,debatewise
Recognise Kosovo as an independent state,idebate
Smoking in public spaces should be banned,idebate
France is right to intervene in Mali,idebate
India’s Ban on the Satanic Verses is justified,idebate
Water Should Be Owned And Supplied By The State,debatewise
(as a Christian Church) allow the ordination of gay and lesbian priests,idebate
The War in Iraq was Worth the Cost,idebate
Social disgust is legitimate grounds for restriction of artistic expression,idebate
Hillary Clinton would make a better president for America,debatewise
Does campaign finance in the United States need to be fixed?,idebate
