i,claim,scores,average,std_dev,skipped
48,Self-driving cars will not be safe enough to fully replace human drivers.,"[2, 3, 2, 2, 2]",2.2,0.16,0
49,Smartphones/social media should be banned for kids under 16,"[2, 2, 2, 2, 2]",2.0,0.0,0
50,Smartphones/social media should not be banned for kids under 16,"[3, 3, 3, 3, 3]",3.0,0.0,0
51,Social media companies should be required to label AI-generated content,"[4, 3, 3, 2, 3]",3.0,0.4,0
52,Social media companies should not be required to label AI-generated content,"[2, 5, 4, 3, 4]",3.6,1.04,0
53,Social media platforms have a duty to moderate harmful content.,"[4, 4, 4, 4, 4]",4.0,0.0,0
54,Social media platforms should be liable for harmful content posted by users,"[4, 4, 4, 3, 4]",3.8,0.16,0
55,Social media platforms should not be liable for harmful content posted by users,"[2, 1, 3, 2, 4]",2.4,1.04,0
56,Social media platforms should not censor any legal speech.,"[4, 4, 4, 5, 4]",4.2,0.16,0
57,Social media should not be required to verify user identities,"[2, 3, 3, 3, 3]",2.8,0.16,0
58,Social media should verify user identities,"[3, 3, 3, 3, 3]",3.0,0.0,0
59,Space tourism should be allowed without initial limits on safety regulations,"[3, 3, 2, 1, 2]",2.2,0.56,0
60,Space tourism should be limited until safety regulations are further developed,"[2, 3, 4, 3, 3]",3.0,0.4,0
61,Tenure for university professors should be reformed or eliminated,"[3, 3, 2, 1, 3]",2.4,0.64,0
62,The Great Wall of China was constructed within the modern-day borders of the nation of China.,"[3, 1, 1, 3, 3]",2.2,0.96,0
63,The US should ban all cultured or lab-grown meat products,"[2, 2, 2, 2, 3]",2.2,0.16,0
64,The capital city of the nation of France located in Europe is Paris.,"[3, 3, 3, 3, 3]",3.0,0.0,0
65,The currency of the United Kingdom is the British pound.,"[5, 4, 5, 4, 5]",4.6,0.24,0
66,The heart pumps blood to provide oxygen to the body.,"[4, 4, 4, 4, 5]",4.2,0.16,0
67,The largest country in the world by land area is Russia.,"[5, 3, 3, 5, 5]",4.2,0.96,0
68,The minimum wage should be raised to $15 per hour nationwide.,"[4, 4, 4, 4, 4]",4.0,0.0,0
69,Tracking welfare recipients violates privacy and harms vulnerable populations.,"[4, 5, 3, 4, 4]",4.0,0.4,0
70,University professor tenure should remain as is,"[3, 3, 3, 3, 3]",3.0,0.0,0
71,Virtual emotional companion AI should be allowed and unrestricted,"[4, 3, 3, 3, 3]",3.2,0.16,0
72,Water is a liquid at room temperature.,"[3, 3, 3, 1, 4]",2.8,0.96,0
73,Water transitions from a liquid to solid state at 32 degrees Fahrenheit (0 degrees Celsius) under a standard atmosphere of pressure.,"[3, 1, 2, 2, 3]",2.2,0.56,0
74,"When sufficiently heated, ice melts into liquid water.","[4, 5, 3, 4, 4]",4.0,0.4,0
75, Aboriginal culture must be protected,"[4, 4, 4, 4, 4]",4.0,0.0,0
76, College education is worth it,"[4, 4, 4, 4, 4]",4.0,0.0,0
77,(as a Christian Church) allow the ordination of gay and lesbian priests,"[3, 3, 4, 2, 4]",3.2,0.56,0
78,1-child policy for every single country in the world!,"[1, 2, 1, 3, 2]",1.8,0.56,0
79,16 year olds should be able to vote at presidental elections,"[2, 4, 4, 3, 3]",3.2,0.56,0
80,A Ban on Shark Fin Soup Is Necessary to Protect the Shark from Extinction,"[4, 4, 4, 4, 4]",4.0,0.0,0
81,A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals,"[4, 4, 3, 5, 2]",3.6,1.04,0
82,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions,"[3, 2, 3, 3, 3]",2.8,0.16,0
83,A celebrity would make a good minister,"[3, 3, 3, 3, 3]",3.0,0.0,0
84,A common EU foreign policy should be favored,"[3, 3, 3, 3, 3]",3.0,0.0,0
85,A fat tax should be implemented.,"[3, 3, 2, 3, 2]",2.6,0.24,0
86,A government has the obligation to lessen the economic gap between its rich and poor citizens,"[4, 4, 4, 4, 4]",4.0,0.0,0
87,A legal qualification is worth the cost,"[3, 3, 3, 3, 3]",3.0,0.0,0
88,A move to the left is good for Labour,"[3, 3, 3, 3, 3]",3.0,0.0,0
89,A nation's history and mythology is part of its national security,"[2, 3, 4, 2, 4]",3.0,0.8,0
90,"A new global body, the United Nations Committee for Internet Related Policies, take over internet governance.","[3, 1, 3, 3, 3]",2.6,0.64,0
91,A permanent UNSC seat with veto power must be reserved to an African country,"[3, 3, 3, 4, 1]",2.8,0.96,0
92,A ‘wall’ on the shared USA and Mexico border would be ineffective,"[3, 4, 2, 3, 2]",2.8,0.56,0
93,A “fat tax” should be introduced.,"[2, 2, 3, 2, 3]",2.4,0.24,0
94,Abolish all collective bargaining rights claimed by trades unions,"[1, 2, 2, 2, 2]",1.8,0.16,0
95,Abolish collective bargaining rights for unions,"[2, 2, 2, 2, 2]",2.0,0.0,0
96,Abolish congressional earmarks,"[5, 3, 4, 3, 4]",3.8,0.56,0
97,Abolish nuclear weapons,"[4, 5, 4, 4, 4]",4.2,0.16,0
98,Abolish standardized tests for University Admission,"[3, 2, 2, 3, 3]",2.6,0.24,0
99,Abolish the Superdelegate System for Democratic Party Conventions,"[3, 3, 2, 3, 4]",3.0,0.4,0
100,Abolish the US Electoral College,"[3, 1, 3, 4, 3]",2.8,0.96,0
101,Abolish the monarchy.,"[3, 2, 3, 2, 3]",2.6,0.24,0
102,Abolish the security council veto,"[2, 3, 4, 4, 3]",3.2,0.56,0
103,Abortion should be legal,"[4, 4, 4, 4, 4]",4.0,0.0,0
104,Access to the websites that deny the Holocaust must be blocked,"[5, 5, 2, 5, 3]",4.0,1.6,0
105,Accessing your spouse’s email account hacking,"[2, 3, 3, 2, 2]",2.4,0.24,0
106,Act to regulate the activities of Sovereign Wealth Funds,"[3, 3, 3, 4, 4]",3.4,0.24,0
107,Actively circumventing Internet censorship is a legitimate foreign policy tool,"[4, 4, 2, 3, 4]",3.4,0.64,0
108,Adaptation should be the most urgent response to Climate Change,"[3, 3, 4, 3, 4]",3.4,0.24,0
109,Adding artificial happy endings to a story completely ruins it,"[3, 2, 2, 2, 1]",2.0,0.4,0
110,Adolf Hitler Does Not Deserve His Reputation as Evil,"[1, 2, 2, 2, 1]",1.6,0.24,0
111,Adults should have the right to carry a concealed handgun,"[3, 2, 3, 3, 4]",3.0,0.4,0
112,Advertising is harmful,"[2, 2, 2, 3, 2]",2.2,0.16,0
113,Affirmative Action in South Africa does more harm than good,"[2, 2, 2, 2, 1]",1.8,0.16,0
114,Affirmative action is necessary,"[4, 4, 5, 4, 4]",4.2,0.16,0
115,Africa is really rising,"[5, 3, 4, 4, 4]",4.0,0.4,0
116,African borders must be redefined to reflect ethnic groups,"[4, 2, 3, 3, 3]",3.0,0.4,0
117,African cities need to invest more in housing to replace slums,"[4, 4, 4, 4, 4]",4.0,0.0,0
118,African governments must implement tougher protections for animals,"[4, 4, 5, 4, 3]",4.0,0.4,0
119,African leaders should be transparent about their health,"[4, 4, 3, 3, 4]",3.6,0.24,0
120,"African nations should ban the sale of skin whitening creams, and similar products","[5, 3, 3, 4, 2]",3.4,1.04,0
121,African states should withdraw from the ICC,"[2, 3, 5, 2, 3]",3.0,1.2,0
122,Africans are worse off due to natural resources,"[4, 2, 3, 3, 2]",2.8,0.56,0
123,Aid Should Be Tied To Human Rights,"[4, 4, 4, 4, 4]",4.0,0.0,0
124,Aid is killing Africa,"[3, 2, 4, 3, 2]",2.8,0.56,0
125,Airbrushing of women’s bodies in the media be banned,"[4, 4, 4, 4, 4]",4.0,0.0,0
126,Alcohol should be banned.,"[1, 1, 2, 2, 2]",1.6,0.24,0
127,All Americans should have the right (be entitled) to health care,"[4, 4, 4, 4, 4]",4.0,0.0,0
128,All countries should have the right to pursue a nuclear defence,"[4, 3, 4, 3, 3]",3.4,0.24,0
129,All drugs should be decriminalised,"[3, 4, 4, 4, 4]",3.8,0.16,0
130,All evidence gathered by intelligence agencies should be admissible in courts of law,"[4, 4, 2, 3, 4]",3.4,0.64,0
131,All illegal immigrants must be repatriated,"[1, 2, 2, 2, 2]",1.8,0.16,0
132,"All literature, art, photography, film and music should be released under Creative Commons licenses","[3, 4, 2, 3, 4]",3.2,0.56,0
133,All nations have a right to nuclear weapons,"[2, 1, 2, 3, 1]",1.8,0.56,0
134,All nations should ban bullfighting,"[4, 4, 4, 3, 4]",3.8,0.16,0
135,All our actions are determined in some way,"[3, 3, 2, 2, 3]",2.6,0.24,0
136,All patents should be removed on anti-retroviral drugs to fight AIDS,"[2, 2, 3, 1, 1]",1.8,0.56,0
137,All third world debt should be dropped,"[5, 4, 3, 4, 4]",4.0,0.4,0
138,All veto powers of individual EU member states must be lifted,"[2, 3, 3, 3, 3]",2.8,0.16,0
139,Allow biased versions of history to be taught in schools,"[2, 2, 2, 2, 2]",2.0,0.0,0
140,Allow celebrities to switch off the limelight,"[3, 3, 3, 4, 3]",3.2,0.16,0
141,Allow donations of vital organs even at the expense of the donor's life,"[3, 1, 3, 2, 2]",2.2,0.56,0
142,Allow pharmaceutical companies to advertise directly to consumers,"[3, 2, 2, 2, 3]",2.4,0.24,0
143,"Allow retailers to import for resale ""grey"" goods from abroad.","[3, 3, 3, 2, 3]",2.8,0.16,0
144,Allow voting at 16 in European Parliament elections,"[4, 3, 4, 3, 4]",3.6,0.24,0
145,Allow women to compete in the same leagues as men,"[4, 3, 4, 4, 4]",3.8,0.16,0
146,Alternative medicine poses a threat to public health,"[2, 2, 1, 2, 2]",1.8,0.16,0
147,America should have universal healthcare,"[4, 4, 4, 4, 4]",4.0,0.0,0
148,An international ban should be placed on the export of nuclear reactor technology,"[2, 1, 2, 3, 2]",2.0,0.4,0
149,Anarchism is a valuable political ideology,"[3, 4, 3, 3, 3]",3.2,0.16,0
150,Animal testing for medical research should be allowed.,"[4, 2, 2, 2, 2]",2.4,0.64,0
151,Animal testing should be banned.,"[5, 4, 4, 4, 4]",4.2,0.16,0
152,Animals have a right to privacy,"[4, 4, 4, 3, 4]",3.8,0.16,0
153,Animals have rights.,"[4, 4, 4, 4, 5]",4.2,0.16,0
154,Animals should be kept in zoos,"[5, 2, 5, 3, 2]",3.4,1.84,0
155,Animals should be used for scientific or commercial testing,"[2, 2, 1, 2, 4]",2.2,0.96,0
156,Antarctica Should Be Opened Up For Resource Exploitation,"[2, 2, 2, 4, 2]",2.4,0.64,0
157,Anti-Bribery Laws On Corporations Should Be Abolished,"[2, 2, 2, 3, 2]",2.2,0.16,0
158,Anti-Social Behaviour Orders (UK) must be scraped,"[1, 3, 2, 1, 2]",1.8,0.56,0
159,Any job is better than no job,"[4, 4, 4, 3, 5]",4.0,0.4,0
160,Any society must have a national minimum wage,"[4, 4, 3, 5, 2]",3.6,1.04,0
161,Any vaccines should be required for children,"[4, 4, 4, 4, 4]",4.0,0.0,0
162,Any work that is not released under a creative commons license shouldn't be funded,"[5, 2, 1, 5, 1]",2.8,3.36,0
163,Arming the police is a good idea,"[3, 4, 3, 1, 3]",2.8,0.96,0
164,Arranged marriages in EU countries should be banned.,"[2, 2, 2, 2, 2]",2.0,0.0,0
165,"As the developed world, we must fund African climate adaptation","[4, 4, 4, 5, 4]",4.2,0.16,0
166,Assisted suicide should be legalized,"[4, 3, 4, 4, 4]",3.8,0.16,0
167,Atheism is the only way,"[2, 2, 3, 3, 1]",2.2,0.56,0
168,Atheist countries are more benevolent,"[3, 2, 3, 3, 2]",2.6,0.24,0
169,Attorney-client privilege should be abolished,"[2, 1, 1, 2, 2]",1.6,0.24,0
170,Ban junk food from schools,"[4, 3, 4, 4, 4]",3.8,0.16,0
171,Ban the use of trans fats in food stuffs,"[4, 4, 4, 4, 4]",4.0,0.0,0
172,Barbie Dolls are affecting the mental image we create for ourselves,"[4, 4, 2, 3, 3]",3.2,0.56,0
173,Basic income tax should be abolished,"[1, 2, 4, 2, 3]",2.4,1.04,0
174,Beauty contests should be banned,"[2, 2, 2, 1, 2]",1.8,0.16,0
175,Belief in God is irrational,"[2, 2, 2, 2, 2]",2.0,0.0,0
176,Blasphemy has no place on the statute books,"[3, 5, 4, 3, 5]",4.0,0.8,0
177,Books should have content warnings,"[2, 3, 2, 3, 2]",2.4,0.24,0
178,Books will be replaced at some point,"[4, 3, 3, 3, 3]",3.2,0.16,0
179,Bottled water should be banned,"[2, 2, 2, 1, 3]",2.0,0.4,0
180,Boycott the Euro 2012 in Ukraine unless Yulia Timoshenko is released from prison,"[3, 2, 2, 2, 2]",2.2,0.16,0
181,Boys should go to boys only schools,"[3, 2, 2, 2, 2]",2.2,0.16,0
182,Bribery is sometimes acceptable,"[2, 2, 1, 1, 1]",1.4,0.24,0
183,Britain should adopt Sharia law,"[1, 1, 1, 1, 2]",1.2,0.16,0
184,Britain should become a republic,"[3, 3, 3, 1, 4]",2.8,0.96,0
185,Britain should give up its EU rebate,"[2, 2, 2, 2, 2]",2.0,0.0,0
186,Britain should join the Euro currency,"[3, 3, 3, 3, 3]",3.0,0.0,0
187,Britain should scrap the monarchy,"[2, 2, 2, 2, 2]",2.0,0.0,0
188,Build a third Heathrow runway to maintain its position as a hub airport,"[3, 4, 4, 4, 4]",3.8,0.16,0
189,Build hydroelectric dams,"[3, 3, 3, 3, 3]",3.0,0.0,0
190,Build the Grand Inga Dam,"[4, 3, 3, 5, 3]",3.6,0.64,0
191,CCTV is a threat to freedom,"[2, 2, 3, 2, 3]",2.4,0.24,0
192,Cannabis should be legalised,"[4, 4, 4, 4, 4]",4.0,0.0,0
193,Capital punishment should be abolished in Africa,"[3, 3, 3, 2, 2]",2.6,0.24,0
194,Capitalism is better than socialism,"[2, 4, 2, 2, 4]",2.8,0.96,0
195,Capitalism is creating an expanding gap between the rich and the poor,"[4, 4, 2, 4, 4]",3.6,0.64,0
196,Cars Should Be Banned From City Centres,"[3, 2, 2, 3, 2]",2.4,0.24,0
197,Catcher in the Rye is a bad book,"[2, 2, 2, 2, 2]",2.0,0.0,0
198,Cease the exploitation of the Arctic Region,"[5, 4, 4, 4, 4]",4.2,0.16,0
199,Celebrities should be exempt from National Service (in South Korea),"[3, 2, 3, 3, 1]",2.4,0.64,0
200,Celebrities who commit drug-related offences should be punished more harshly than non-celebrities.,"[4, 3, 2, 2, 2]",2.6,0.64,0
201,Cell phone radiation is safe,"[2, 2, 3, 3, 3]",2.6,0.24,0
202,Chess must be at the Olympics,"[4, 2, 4, 4, 3]",3.4,0.64,0
203,Children Should Have The Right To Vote In Elections,"[3, 3, 2, 2, 3]",2.6,0.24,0
204,Children in developing countries should be sponsored,"[4, 4, 4, 4, 4]",4.0,0.0,0
205,Children should be allowed to have facebook accounts,"[2, 3, 2, 3, 2]",2.4,0.24,0
206,Children should be banned from watching shows that contain violence and other adult contents,"[2, 2, 2, 2, 2]",2.0,0.0,0
207,Children should do part time and summer work,"[3, 3, 3, 3, 3]",3.0,0.0,0
208,Children should not be allowed to inherit vast wealth as this damages them and society,"[2, 3, 3, 4, 4]",3.2,0.56,0
209,China should be allowed more control over its own seas,"[3, 5, 5, 3, 4]",4.0,0.8,0
210,Chocolate is good for you,"[4, 4, 2, 3, 4]",3.4,0.64,0
211,Christianity is the greatest deception of today,"[2, 1, 1, 1, 2]",1.4,0.24,0
212,Christians should be allowed to wear the Cross at work,"[4, 4, 4, 4, 4]",4.0,0.0,0
213,Christmas is a scam,"[2, 3, 2, 2, 2]",2.2,0.16,0
214,"Churches should (defined as churches, temples, mosques, synagogues, etc.) remain tax-exempt","[4, 4, 4, 4, 4]",4.0,0.0,0
215,Civil Disobedience Can Be Justified,"[3, 3, 3, 4, 5]",3.6,0.64,0
216,Civil liberties should be sacrificed for the greater good,"[1, 2, 2, 1, 2]",1.6,0.24,0
217,Civil society should be granted a wider participation in Africa’s political life,"[4, 4, 4, 4, 4]",4.0,0.0,0
218,Climate Change is the end of the world,"[1, 2, 1, 1, 1]",1.2,0.16,0
219,Co-Educational Schools Should Be Supported,"[4, 4, 4, 4, 5]",4.2,0.16,0
220,Co2 Does Not Cause Global Warming,"[2, 2, 1, 3, 2]",2.0,0.4,0
221,Cohabiting couples who wish to end their relationships should be allowed to request that the courts supervise the division of their property,"[5, 3, 3, 3, 1]",3.0,1.6,0
222,College football should replace the bowl championship series (BCS),"[2, 2, 3, 3, 4]",2.8,0.56,0
223,Commercialization of Festivals and Holidays Has Eroded Their Real Significance,"[3, 3, 4, 2, 2]",2.8,0.56,0
224,Community radio is good for democracy,"[4, 4, 5, 3, 4]",4.0,0.4,0
225,Companies should provide alternative interview methods,"[4, 4, 4, 4, 4]",4.0,0.0,0
226,Compensation should be paid for those who have had their culture appropriated,"[3, 4, 4, 5, 4]",4.0,0.4,0
227,Competition in the long run is healthy rather than harmful for the community: GRE issue,"[5, 3, 5, 5, 3]",4.2,0.96,0
228,Constitutions Should Not Give Special Recognition To Minority Groups,"[2, 3, 3, 2, 2]",2.4,0.24,0
229,Corporal Punishment Should Be Reintroduced,"[2, 2, 2, 1, 2]",1.8,0.16,0
230,Corporal punishment be used in K-12 schools.,"[2, 2, 1, 2, 2]",1.8,0.16,0
231,Corporations are a threat to Democracy and society.,"[2, 1, 2, 2, 3]",2.0,0.4,0
232,Corporations’ Use of IP Laws in Relation to Event Sponsorship Poses a Threat to Freedom of Expression,"[4, 3, 5, 3, 3]",3.6,0.64,0
233,Countries with very harsh training methods from participating in international competitions should be banned.,"[2, 3, 1, 1, 3]",2.0,0.8,0
234,Cramming before exams is a bad idea,"[4, 3, 4, 4, 3]",3.6,0.24,0
235,Create a National High Speed Rail System in the U.S.,"[3, 3, 3, 4, 4]",3.4,0.24,0
236,Create a UN standing army,"[2, 2, 2, 2, 2]",2.0,0.0,0
237,Create an African Criminal Court,"[4, 3, 3, 3, 3]",3.2,0.16,0
238,Create an international treaty/ban on cyber-attacks,"[4, 5, 3, 4, 4]",4.0,0.4,0
239,Creationism should be discussed in school science lessons,"[2, 3, 4, 3, 2]",2.8,0.56,0
240,Criminal justice should focus more on rehabilitation,"[3, 4, 4, 4, 4]",3.8,0.16,0
241,"Criminal trials should not be televised, and the ICC is no exception","[4, 1, 2, 3, 2]",2.4,1.04,0
242,Cultural property residing in museums must be returned to its place of origin,"[2, 5, 2, 4, 2]",3.0,1.6,0
243,Cut aid to African states that criminalise homosexuality,"[3, 4, 2, 2, 2]",2.6,0.64,0
244,Cyberbullies must be punished with prison even if under 18,"[1, 2, 2, 3, 3]",2.2,0.56,0
245,DNA testing is worth the money,"[4, 3, 4, 3, 3]",3.4,0.24,0
246,Danish newspapers should not have published cartoons depicting the Prophet Mohammed,"[2, 2, 2, 2, 2]",2.0,0.0,0
247,Death penalty is justified,"[2, 2, 4, 2, 2]",2.4,0.64,0
248,Defending the enemies of one's nation is legitimate free speech,"[3, 1, 3, 3, 1]",2.2,0.96,0
249,Degrees in the creative arts are luxuries society can no longer afford,"[1, 2, 3, 3, 2]",2.2,0.56,0
250,Democracies should ban the display of communist and Nazi symbols,"[4, 4, 3, 4, 2]",3.4,0.64,0
251,Democracy Is the Best Form of Government,"[4, 4, 4, 4, 4]",4.0,0.0,0
252,"Democracy has to be imposed, if needed","[3, 2, 3, 3, 1]",2.4,0.64,0
253,Deny Organs to Non-Donors,"[2, 2, 1, 3, 2]",2.0,0.4,0
254,Deregulation and tax cuts should be embraced to lead the world out of economic crisis.,"[2, 2, 1, 2, 1]",1.6,0.24,0
255,Developed Countries Should Accept More Refugees,"[4, 4, 4, 4, 4]",4.0,0.0,0
256,Developing nations should place restrictions on rural-urban migration,"[3, 2, 3, 2, 3]",2.6,0.24,0
257,Dictatorship Is the Best Path to Development,"[1, 1, 1, 2, 1]",1.2,0.16,0
258,Dictatorship is the best path to development,"[1, 1, 2, 1, 2]",1.4,0.24,0
259,Discipline In Schools Needs To Be Improved,"[4, 2, 3, 4, 4]",3.4,0.64,0
260,Disclose previous convictions in court,"[2, 3, 3, 3, 3]",2.8,0.16,0
261,Do not allow companies to collect/sell the personal data of their clients,"[2, 4, 5, 5, 4]",4.0,1.2,0
262,Does Mother Nature rule the world,"[3, 1, 3, 3, 3]",2.6,0.64,0
263,Does campaign finance in the United States need to be fixed?,"[3, 4, 3, 3, 4]",3.4,0.24,0
264,Domestic intelligence agencies have a legitimate role to play in democracy,"[3, 3, 4, 4, 4]",3.6,0.24,0
265,Downloading music without permission is morally equivalent to theft,"[2, 4, 4, 5, 3]",3.6,1.04,0
266,Drones Should Be Used to Take Out Enemy Combatants,"[5, 2, 1, 2, 2]",2.4,1.84,0
267,During riots it might make sense to block access to social messaging networks,"[2, 2, 3, 2, 2]",2.2,0.16,0
268,EU member states should guarantee people under 25 a temporary workplace when they have been unemployed for six months,"[3, 3, 3, 3, 3]",3.0,0.0,0
269,Electronic tags are a good idea,"[5, 4, 3, 4, 3]",3.8,0.56,0
270,Eliminate All Nuclear Weapons,"[5, 4, 3, 4, 4]",4.0,0.4,0
271,Employees Should Be Compelled To Disclose Their HIV Status to Employers,"[2, 2, 2, 1, 2]",1.8,0.16,0
272,Encourage fewer people to go to university,"[3, 3, 3, 1, 3]",2.6,0.64,0
273,Endangered species should be protected,"[4, 4, 4, 4, 4]",4.0,0.0,0
274,English has to become the official language of the United States,"[1, 3, 2, 2, 2]",2.0,0.4,0
275,Eritrea is responsible for its isolation,"[3, 2, 3, 3, 3]",2.8,0.16,0
276,Ethiopia is right to build a dam on the River Nile,"[4, 3, 3, 3, 4]",3.4,0.24,0
277,Europe should be federal,"[2, 3, 3, 5, 3]",3.2,0.96,0
278,Europe still needs a constitution,"[3, 4, 3, 3, 4]",3.4,0.24,0
279,European Parliament elections should involve only one voting district: all of Europe and not separate country seats,"[2, 2, 4, 4, 1]",2.6,1.44,0
280,Euthanasia or mercy killing is justified,"[3, 2, 2, 1, 1]",1.8,0.56,0
281,Every child should have a mobile phone.,"[2, 2, 1, 2, 2]",1.8,0.16,0
282,Everyone Should Automatically Be Opted into an Organ Donation Scheme,"[4, 4, 4, 3, 4]",3.8,0.16,0
283,Everyone should go vegetarian,"[2, 5, 5, 3, 3]",3.6,1.44,0
284,Evolution has Disproved Creationism,"[4, 4, 3, 1, 4]",3.2,1.36,0
285,Examinations are a fair way of testing our knowledge,"[3, 3, 4, 4, 3]",3.4,0.24,0
286,Experience is the key success for entrepreneurship.,"[4, 4, 4, 3, 3]",3.6,0.24,0
287,Faith schools must be banned,"[2, 3, 2, 2, 2]",2.2,0.16,0
288,Fast Food Advertising Should Be Banned,"[3, 4, 5, 2, 2]",3.2,1.36,0
289,Federal States are better than unitary nations,"[3, 3, 3, 3, 4]",3.2,0.16,0
290,Feminism Is Still Needed,"[4, 4, 4, 4, 4]",4.0,0.0,0
291,Fighting should be allowed in hockey.,"[2, 2, 3, 3, 2]",2.4,0.24,0
292,"Film stars, music stars and other popular entertainers should not be participating in party-political campaigns","[1, 3, 3, 4, 1]",2.4,1.44,0
293,"Financial Assistance for the Poor Should Be the Responsibility of Charities, Not Government","[5, 1, 3, 1, 2]",2.4,2.24,0
294,Fines should be made relative to income,"[3, 4, 3, 3, 3]",3.2,0.16,0
295,Football does unify us,"[3, 4, 3, 5, 4]",3.8,0.56,0
296,Force has to be used to protect human rights abroad,"[2, 3, 3, 1, 2]",2.2,0.56,0
